ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
813,0.04551,-0.06343,0.25482,2,SmallisBeautiful,1.15669
823,-0.82997,-0.43206,-1.37550,2,Small is Beautiful,0.99094
824,0.09065,-0.46331,-0.25900,2,Small is Beautiful,0.71218
825,0.26428,-0.38068,-0.76742,2,Small is Beautiful,0.37133
828,-0.25581,-0.41634,-0.64409,2,Small is Beautiful,0.43751
829,0.12400,0.74208,-1.67250,2,Small is Beautiful,1.19772
830,-0.16846,0.38745,-0.63444,2,Small is Beautiful,0.62933
831,-0.67525,-1.15135,-1.03711,2,Small is Beautiful,1.20354
835,-0.13514,0.58352,-0.30637,2,Small is Beautiful,0.95891
838,-0.54186,0.11425,-1.21000,2,Small is Beautiful,0.67921
839,-0.10651,-0.68017,-1.45881,2,Small is Beautiful,0.77180
840,-1.90238,-0.90616,-1.70292,2,Small is Beautiful,2.19138
841,-1.15125,-0.14622,-0.75250,2,Small is Beautiful,1.15454
843,-0.22018,0.21146,-0.86087,2,Small is Beautiful,0.43127
844,0.78143,-1.00740,-0.46622,2,Small is Beautiful,1.23341
845,-0.02670,-0.03589,-0.20605,2,Small is Beautiful,0.70212
846,0.51823,-0.94488,-0.89375,2,Small is Beautiful,0.94287
847,-0.30035,-0.84466,-1.34130,2,Small is Beautiful,0.86706
849,-0.33536,1.26478,-1.03010,2,Small is Beautiful,1.46950
850,0.78487,-0.02131,-1.16151,2,Small is Beautiful,0.84553
852,0.44887,-0.06725,-1.43130,2,Small is Beautiful,0.70814
853,0.01448,-0.30951,-0.13842,2,Small is Beautiful,0.77284
854,0.62273,-0.41256,-1.17848,2,Small is Beautiful,0.73335
859,0.33592,1.03368,-2.08650,2,Small is Beautiful,1.72048
860,-0.65470,-0.35768,-0.45260,2,Small is Beautiful,0.81044
863,0.49914,0.10245,-0.48247,2,Small is Beautiful,0.70425
867,-0.48384,0.12726,-0.63897,2,Small is Beautiful,0.61481
868,0.59095,1.59618,-2.47542,2,Small is Beautiful,2.43654
869,0.46829,-0.77539,-1.31461,2,Small is Beautiful,0.88143
871,1.12803,-0.74760,-1.57490,2,Small is Beautiful,1.44561
873,0.36946,0.42176,-0.73769,2,Small is Beautiful,0.71119
874,0.67260,0.47354,-0.81080,2,Small is Beautiful,0.93294
875,-0.56000,-0.47692,-0.48107,2,Small is Beautiful,0.76126
876,-1.02602,0.98840,-1.36066,2,Small is Beautiful,1.60543
877,0.31636,0.15128,-1.27284,2,Small is Beautiful,0.58560
878,-0.55730,-0.86525,-0.77985,2,Small is Beautiful,0.90200
880,-1.77615,0.45117,-1.18170,2,Small is Beautiful,1.89476
881,-0.02760,0.00175,-1.20715,2,Small is Beautiful,0.35132
882,-0.05338,-0.59245,-0.82828,2,Small is Beautiful,0.43934
883,0.85073,-0.46734,-0.92863,2,Small is Beautiful,0.91025
886,-1.49558,0.68610,-1.19575,2,Small is Beautiful,1.73968
887,-0.32710,-0.18361,0.00972,2,Small is Beautiful,0.96185
888,1.60145,-0.99896,-1.50427,2,Small is Beautiful,1.91173
889,0.40877,0.05035,-0.56820,2,Small is Beautiful,0.56961
890,1.09563,-0.63468,-0.83861,2,Small is Beautiful,1.20038
891,0.50503,-0.46818,-0.94437,2,Small is Beautiful,0.59799
892,0.51157,0.01943,-0.51612,2,Small is Beautiful,0.66713
893,0.80871,0.54545,-1.01342,2,Small is Beautiful,1.08458
895,-0.64599,-0.59418,-1.09939,2,Small is Beautiful,0.79905
898,0.06261,0.39980,-0.02027,2,Small is Beautiful,1.04270
899,-1.15080,0.23674,-0.69015,2,Small is Beautiful,1.22956
900,0.26679,-0.88053,-0.62260,2,Small is Beautiful,0.81672
907,0.33630,0.23298,-1.14245,2,Small is Beautiful,0.57687
913,-0.03319,-0.24874,-1.05466,2,Small is Beautiful,0.18280
916,0.25010,0.36714,-0.50932,2,Small is Beautiful,0.70321
919,0.03191,1.24043,-1.21041,2,Small is Beautiful,1.43669
927,0.36135,0.90418,-1.24095,2,Small is Beautiful,1.17820
928,-0.70281,-0.89744,-0.96156,2,Small is Beautiful,1.01598
931,-0.20382,0.21409,-1.18321,2,Small is Beautiful,0.51194
932,0.49326,0.23284,-0.96238,2,Small is Beautiful,0.63922
939,0.63580,0.42354,-1.25559,2,Small is Beautiful,0.93933
942,-0.31060,0.30067,-0.73722,2,Small is Beautiful,0.57575
944,-0.95706,-0.96444,-1.33500,2,Small is Beautiful,1.32000
951,0.65677,-1.28815,-0.56952,2,Small is Beautiful,1.34772
956,0.22152,-0.53771,-0.80107,2,Small is Beautiful,0.45020
959,-0.95293,0.17498,-0.82931,2,Small is Beautiful,1.00719
963,-1.54733,0.73970,-1.09919,2,Small is Beautiful,1.79683
964,-0.78856,0.38863,-1.19033,2,Small is Beautiful,1.00055
967,-0.21780,0.25462,-1.15535,2,Small is Beautiful,0.53355
968,-0.39453,1.23292,-0.93816,2,Small is Beautiful,1.44776
973,-0.80373,0.32283,-0.49187,2,Small is Beautiful,1.01715
977,0.19043,0.80057,-0.92559,2,Small is Beautiful,0.98189
979,0.17441,-0.05024,-0.58222,2,Small is Beautiful,0.37896
982,-0.07439,-0.27163,-0.67696,2,Small is Beautiful,0.25528
983,0.77131,-0.71231,-0.91789,2,Small is Beautiful,0.95304
985,-0.73449,1.88103,-2.12202,2,Small is Beautiful,2.49053
986,0.46926,-0.42738,0.03715,2,Small is Beautiful,1.08100
987,-0.13739,-0.00771,-1.00357,2,Small is Beautiful,0.22861
988,-0.40082,1.08712,-0.81384,2,Small is Beautiful,1.31180
990,1.30732,-0.11354,-0.78120,2,Small is Beautiful,1.31908
996,0.11030,-0.43570,-0.63344,2,Small is Beautiful,0.39771
1000,0.68924,0.16996,-0.52589,2,Small is Beautiful,0.85449
1006,0.42208,-0.05620,-0.59363,2,Small is Beautiful,0.53471
1007,0.15035,0.02399,-1.18740,2,Small is Beautiful,0.37842
1009,-0.11583,0.01051,-0.48157,2,Small is Beautiful,0.46237
1012,-1.32996,-0.11970,-0.82506,2,Small is Beautiful,1.32669
1013,1.14624,-0.32281,-1.11566,2,Small is Beautiful,1.18383
1015,0.09277,-0.56305,-0.91235,2,Small is Beautiful,0.41420
1018,0.51565,0.25962,-1.03598,2,Small is Beautiful,0.68437
1020,-0.65944,-1.67807,-1.42710,2,Small is Beautiful,1.73490
1022,-1.00557,-1.31634,-1.43570,2,Small is Beautiful,1.62010
1023,-0.35467,1.48769,-1.06857,2,Small is Beautiful,1.69401
1033,0.56825,-1.74396,-1.12613,2,Small is Beautiful,1.69936
1037,-0.75255,0.34466,-0.67375,2,Small is Beautiful,0.92897
1045,-0.23610,0.13320,-0.08826,2,Small is Beautiful,0.89053
1055,0.39691,-0.11086,0.07956,2,Small is Beautiful,1.05718
1062,-0.12969,-0.42038,-1.45076,2,Small is Beautiful,0.62423
1063,0.08898,0.15934,-0.95236,2,Small is Beautiful,0.33877
1068,-0.02985,0.00754,-0.53617,2,Small is Beautiful,0.39865
1071,-0.44172,-0.86226,-1.06158,2,Small is Beautiful,0.84194
1076,0.90015,0.26329,-1.12342,2,Small is Beautiful,1.02584
1082,0.32025,-0.09022,-1.16234,2,Small is Beautiful,0.42658
1088,0.48344,-0.72559,-0.63013,2,Small is Beautiful,0.79315
1089,0.38956,-1.34540,-0.26160,2,Small is Beautiful,1.40079
1091,-0.72467,-0.10564,-0.28561,2,Small is Beautiful,0.94504
1095,-0.32148,-1.56000,-1.38365,2,Small is Beautiful,1.51455
1096,0.80780,-0.51390,-0.65985,2,Small is Beautiful,0.91791
1097,-0.26918,-0.79298,-0.35262,2,Small is Beautiful,0.87440
1099,0.13154,0.44971,-0.55218,2,Small is Beautiful,0.71453
1100,0.09281,0.37515,-0.44529,2,Small is Beautiful,0.70778
1103,0.60384,0.01930,-0.59181,2,Small is Beautiful,0.70509
1107,0.79550,0.05854,-1.00887,2,Small is Beautiful,0.83844
1110,-0.45324,-0.18861,-0.19601,2,Small is Beautiful,0.83172
1113,0.24377,0.89552,-1.26595,2,Small is Beautiful,1.14678
1117,-1.41573,-0.30827,-1.30985,2,Small is Beautiful,1.47656
1124,0.43677,-0.33346,-1.43673,2,Small is Beautiful,0.71928
1128,-0.95441,-0.40469,-0.52164,2,Small is Beautiful,1.04868
1130,-0.08610,-0.68397,-1.09059,2,Small is Beautiful,0.56347
1132,-0.26507,-0.17373,-1.18419,2,Small is Beautiful,0.38738
1137,1.19957,-0.08279,-1.64825,2,Small is Beautiful,1.42271
1147,-0.91491,0.56015,-0.90573,2,Small is Beautiful,1.16045
1150,0.16350,0.43221,-0.72823,2,Small is Beautiful,0.63953
1157,-1.05491,-1.22055,-1.26032,2,Small is Beautiful,1.53471
1158,-0.75238,-0.77941,-1.28998,2,Small is Beautiful,1.04614
1162,0.17850,0.23914,-0.80969,2,Small is Beautiful,0.44911
1172,0.29271,-0.02690,-1.30193,2,Small is Beautiful,0.52099
1177,0.67187,-0.08490,-0.43783,2,Small is Beautiful,0.82193
1180,-0.39251,-0.82626,-1.00398,2,Small is Beautiful,0.77686
1181,-0.12876,-0.33098,-0.85744,2,Small is Beautiful,0.21333
1182,0.78488,0.06080,-0.28668,2,Small is Beautiful,1.02298
1186,-0.79537,-0.32488,-1.06546,2,Small is Beautiful,0.82383
1187,0.20846,0.32309,-0.57354,2,Small is Beautiful,0.62025
1188,-0.18746,-0.06680,-0.26214,2,Small is Beautiful,0.66664
1189,0.09115,-0.05284,-0.94920,2,Small is Beautiful,0.15456
1191,0.15797,1.09628,-1.13179,2,Small is Beautiful,1.28960
1194,-0.11096,-0.11008,-0.70364,2,Small is Beautiful,0.22558
1196,0.05637,-0.82817,-0.30303,2,Small is Beautiful,0.89511
1198,-0.04666,-0.44283,-0.02401,2,Small is Beautiful,0.91787
1199,0.80540,-0.08105,-1.93505,2,Small is Beautiful,1.32018
1201,-0.82976,0.08291,-1.10299,2,Small is Beautiful,0.88372
1203,-1.59000,0.23585,-0.91286,2,Small is Beautiful,1.63320
1204,0.04165,-0.22285,-0.87551,2,Small is Beautiful,0.08073
1222,-0.51298,0.28640,-1.18708,2,Small is Beautiful,0.73607
1229,-0.07641,0.13623,-0.29646,2,Small is Beautiful,0.67346
1234,0.00979,0.40678,-1.10293,2,Small is Beautiful,0.60437
1235,0.10215,-0.31192,-1.83392,2,Small is Beautiful,0.95550
1237,0.32770,-0.54234,-1.59275,2,Small is Beautiful,0.86094
1238,0.73689,0.05784,-2.05555,2,Small is Beautiful,1.39382
1239,-0.64526,0.05531,-0.45396,2,Small is Beautiful,0.80722
1240,-0.73590,-0.79122,-1.30632,2,Small is Beautiful,1.04783
1243,-0.05872,0.43410,-1.32570,2,Small is Beautiful,0.73563
1244,-0.20066,-1.03598,-1.11495,2,Small is Beautiful,0.92255
1245,0.98598,-0.05098,-1.04744,2,Small is Beautiful,1.00925
1246,0.56148,-0.06179,-0.81236,2,Small is Beautiful,0.58207
1247,0.38784,-0.35179,-0.75827,2,Small is Beautiful,0.45880
1248,-0.53469,-0.14618,-1.44342,2,Small is Beautiful,0.76086
1250,-0.44793,-0.65978,-1.16643,2,Small is Beautiful,0.71900
1252,-1.71961,-0.37266,-1.69987,2,Small is Beautiful,1.90447
1253,-0.40285,-0.30158,-1.43856,2,Small is Beautiful,0.68635
1256,-0.79619,-0.73554,-0.60577,2,Small is Beautiful,1.01944
1257,-0.70833,-0.44936,-1.13746,2,Small is Beautiful,0.79662
1258,0.33812,-1.36076,-0.59236,2,Small is Beautiful,1.28457
1259,0.56230,-1.27049,-1.20641,2,Small is Beautiful,1.28437
1261,0.09602,-0.07335,-0.36616,2,Small is Beautiful,0.54721
1262,0.98114,0.32065,-1.37996,2,Small is Beautiful,1.19993
1264,2.18498,-0.98145,-1.56144,2,Small is Beautiful,2.43202
1266,0.56762,-1.01614,-0.56498,2,Small is Beautiful,1.08166
1268,0.42001,0.63865,-0.79148,2,Small is Beautiful,0.91212
1272,0.61843,-0.35080,-1.54159,2,Small is Beautiful,0.91745
1273,-0.23010,-0.00420,-0.48878,2,Small is Beautiful,0.49115
1274,-0.81688,0.85449,-1.33186,2,Small is Beautiful,1.37061
1275,0.36996,-0.75126,-1.52750,2,Small is Beautiful,0.94212
1280,-0.58030,0.14350,-1.24429,2,Small is Beautiful,0.73732
1281,-0.40942,-0.71784,-0.77121,2,Small is Beautiful,0.69899
1282,-1.02664,-0.05718,-0.45318,2,Small is Beautiful,1.11779
1283,0.58888,1.27710,-2.08270,2,Small is Beautiful,1.95674
1294,-0.90943,-1.11050,-0.97115,2,Small is Beautiful,1.31280
1297,0.32657,-0.22520,-0.55691,2,Small is Beautiful,0.47959
1303,0.18181,-0.08369,-0.62019,2,Small is Beautiful,0.34294
1324,-0.27708,-0.60651,-0.37499,2,Small is Beautiful,0.73761
1325,0.22236,-0.09250,0.05654,2,Small is Beautiful,0.98248
1328,-0.02724,0.05793,-0.66456,2,Small is Beautiful,0.31979
1331,0.91562,-0.64515,-0.67062,2,Small is Beautiful,1.06513
