ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
812,-0.04014,0.77371,0.35753,5,Ecoscience,0.81550
813,0.04551,-0.06343,0.25482,2,Small is Beautiful,1.15669
814,1.63973,1.27108,0.14658,3,Science for Humanity,0.65320
815,1.41952,0.59193,-0.07017,3,Science for Humanity,0.61645
816,0.99845,-0.76563,0.51085,4,Indigenous Justice,0.46876
817,0.21020,0.68414,0.52779,5,Ecoscience,1.05226
818,-1.69088,2.17758,1.17582,5,Ecoscience,1.61197
819,-1.04906,1.95077,-0.33699,5,Ecoscience,1.35763
820,1.28566,3.04090,-1.13956,3,Science for Humanity,2.25900
821,-1.42443,-0.49088,0.32544,1,Ecospirituality,0.64384
822,-0.29885,1.25788,0.50410,5,Ecoscience,0.57875
823,-0.82997,-0.43206,-1.37550,2,Small is Beautiful,0.99094
824,0.09065,-0.46331,-0.25900,2,Small is Beautiful,0.71218
825,0.26428,-0.38068,-0.76742,2,Small is Beautiful,0.37133
826,1.41627,0.14170,1.06186,4,Indigenous Justice,0.98635
827,-1.51853,0.54066,-0.59398,5,Ecoscience,1.43979
828,-0.25581,-0.41634,-0.64409,2,Small is Beautiful,0.43751
829,0.12400,0.74208,-1.67250,2,Small is Beautiful,1.19772
830,-0.16846,0.38745,-0.63444,2,Small is Beautiful,0.62933
831,-0.67525,-1.15135,-1.03711,2,Small is Beautiful,1.20354
833,0.47970,0.63463,0.69715,3,Science for Humanity,1.03256
834,-0.80328,-0.99338,-0.31846,1,Ecospirituality,0.75416
835,-0.13514,0.58352,-0.30637,2,Small is Beautiful,0.95891
836,-1.04357,1.51324,-0.00753,5,Ecoscience,0.82882
837,0.55924,-0.24950,0.89314,4,Indigenous Justice,0.64373
838,-0.54186,0.11425,-1.21000,2,Small is Beautiful,0.67921
839,-0.10651,-0.68017,-1.45881,2,Small is Beautiful,0.77180
840,-1.90238,-0.90616,-1.70292,2,Small is Beautiful,2.19138
841,-1.15125,-0.14622,-0.75250,2,Small is Beautiful,1.15454
